,name,port_id,lat_port,lon_port,iso2,area,h3_5_hexring
26,Bandirmar,wfp.17055,40.35069,27.96166,tr,black,"['851ecb8bfffffff', '851ecbc7fffffff', '851ecb13fffffff', '851ecbd7fffffff', '851ecb8ffffffff', '851ecb9bfffffff', '851ecb83fffffff']"
27,Baniyas,wfp.17354,35.18358,35.94398,sy,black,"['852da313fffffff', '852da317fffffff', '852da38bfffffff', '852da38ffffffff', '852da303fffffff', '852da31bfffffff', '852da3c7fffffff']"
28,Bar,wfp.15588,42.08546,19.08775,me,black,"['851ef20bfffffff', '851ef203fffffff', '851ef247fffffff', '851ef21bfffffff', '851ef273fffffff', '851ef257fffffff', '851ef20ffffffff']"
29,Bartin,wfp.17558,41.68671,32.23357,tr,black,"['852d049bfffffff', '852d0493fffffff', '852d2267fffffff', '852d0483fffffff', '852d226ffffffff', '852d048bfffffff', '852d04d7fffffff']"
30,Basarabi,wfp.14575,44.1792,28.3939,ro,black,"['851ee98bfffffff', '851ee9d7fffffff', '851ee98ffffffff', '851ee9c7fffffff', '851ee913fffffff', '851ee983fffffff', '851ee99bfffffff']"
31,Batroun,wfp.15237,34.25713,35.65675,lb,black,"['852da277fffffff', '852da23bfffffff', '852da20ffffffff', '852da267fffffff', '852da273fffffff', '852da22bfffffff', '852da263fffffff']"
32,Batumi,wfp.17093,41.64976,41.65796,ge,black,"['852c21cbfffffff', '852c2027fffffff', '852c2037fffffff', '852c21cffffffff', '852c21dbfffffff', '852c21c3fffffff', '852c2153fffffff']"
33,Beirut,wfp.14798,33.90151,35.51784,lb,black,"['852da24ffffffff', '852da24bfffffff', '852db1b7fffffff', '852db1b3fffffff', '852da27bfffffff', '852da243fffffff', '852da247fffffff']"
34,Belgorod-Dnestrovskiy,wfp.17357,46.18325,30.37314,ua,black,"['851e5c2ffffffff', '851e5c23fffffff', '851e5c2bfffffff', '851e5897fffffff', '851e5893fffffff', '851e5d5bfffffff', '851e5c27fffffff']"
35,Berdyansk,wfp.16881,46.7537,36.77623,ua,black,"['852d7513fffffff', '852d75c7fffffff', '852d7517fffffff', '852d758bfffffff', '852d758ffffffff', '852d751bfffffff', '852d7503fffffff']"
36,Beykoz,wfp.16140,41.13453,29.09164,tr,black,"['851ec917fffffff', '851ec98ffffffff', '851ec9bbfffffff', '851ec903fffffff', '851ec9abfffffff', '851ec907fffffff', '851ec913fffffff']"
37,Bodrum,wfp.15457,37.03359,27.43014,tr,black,"['853f623bfffffff', '853f6223fffffff', '853f6207fffffff', '853f6277fffffff', '853f620ffffffff', '853f6233fffffff', '853f622bfffffff']"
38,Borj Islam,wfp.16789,35.68174,35.79058,sy,black,"['852da14bfffffff', '852da15bfffffff', '852da14ffffffff', '852da397fffffff', '852da3b3fffffff', '852da387fffffff', '852da143fffffff']"
39,Braila,wfp.14866,45.2824,27.98468,ro,black,"['851eed87fffffff', '851eedbbfffffff', '851eedb3fffffff', '851eed8ffffffff', '851eed97fffffff', '851e5e4bfffffff', '851eed83fffffff']"
40,Burgas,wfp.16608,42.48834,27.45531,bg,black,"['851eccb7fffffff', '851ecca7fffffff', '851eeb7bfffffff', '851eccb3fffffff', '851eeb6bfffffff', '851eeb4ffffffff', '851ecca3fffffff']"
41,Buyukcekmece,wfp.17092,41.01859,28.5811,tr,black,"['851ec9cffffffff', '851ec91bfffffff', '851ec9c7fffffff', '851ec9c3fffffff', '851ec953fffffff', '851ec957fffffff', '851ec9cbfffffff']"
42,BÅLSTA,4949,59.5833,17.504,se,baltic,"['85088607fffffff', '8508863bfffffff', '85088617fffffff', '85088633fffffff', '850886abfffffff', '85088603fffffff', '8508860ffffffff']"
43,Canakkale,wfp.15678,40.15029,26.40266,tr,black,"['851eca1bfffffff', '851ecacffffffff', '851eca57fffffff', '851eca13fffffff', '851eca03fffffff', '851ecac7fffffff', '851eca0bfffffff']"
44,Cesme,wfp.14964,38.32184,26.29818,tr,black,"['853f6613fffffff', '853f668bfffffff', '853f6603fffffff', '853f6617fffffff', '853f66c7fffffff', '853f668ffffffff', '853f661bfffffff']"
45,Ceyhan,wfp.17523,36.88203,35.9351,tr,black,"['852dacd3fffffff', '852dacc3fffffff', '852d126ffffffff', '852da1a7fffffff', '852d126bfffffff', '852dacd7fffffff', '852dacdbfffffff']"
46,Cheikh Zennad,wfp.14730,34.60732,35.98605,lb,black,"['852da35bfffffff', '852da227fffffff', '852da343fffffff', '852da22ffffffff', '852da353fffffff', '852da34bfffffff', '852d8497fffffff']"
47,Chekka,wfp.14999,34.32698,35.72336,lb,black,"['852da277fffffff', '852da23bfffffff', '852da20ffffffff', '852da267fffffff', '852da273fffffff', '852da22bfffffff', '852da263fffffff']"
48,Chekka Fuel Oil Port,wfp.17892,34.32934,35.72545,lb,black,"['852da277fffffff', '852da23bfffffff', '852da20ffffffff', '852da267fffffff', '852da273fffffff', '852da22bfffffff', '852da263fffffff']"
49,Cide,wfp.15896,41.89864,32.98514,tr,black,"['852d04affffffff', '852d04a7fffffff', '852d0437fffffff', '852d0433fffffff', '852d05dbfffffff', '852d04a3fffffff', '852d04abfffffff']"
50,Constanta,wfp.15023,44.16453,28.6419,ro,black,"['851ee98ffffffff', '851ee917fffffff', '851ee9bbfffffff', '851ee913fffffff', '851ee983fffffff', '851ee98bfffffff', '851ee987fffffff']"
51,Corinth,wfp.16361,37.94232,22.93194,gr,black,"['851eda4bfffffff', '851eda43fffffff', '853f2997fffffff', '851eda5bfffffff', '853f29b3fffffff', '853f2987fffffff', '851eda4ffffffff']"
52,DEGERHAMN,9557327,56.3501248,16.4168,se,baltic,"['851f29cbfffffff', '851f29cffffffff', '851f2837fffffff', '851f29c3fffffff', '851f2953fffffff', '851f29dbfffffff', '851f2827fffffff']"
53,Dbaiye,wfp.16265,33.92898,35.58605,lb,black,"['852da27bfffffff', '852da24ffffffff', '852da26bfffffff', '852db1b7fffffff', '852da273fffffff', '852da247fffffff', '852da263fffffff']"
54,Dbaiye 2 Port,wfp.17888,33.9441,35.58868,lb,black,"['852da27bfffffff', '852da24ffffffff', '852da26bfffffff', '852db1b7fffffff', '852da273fffffff', '852da247fffffff', '852da263fffffff']"
55,Derince,wfp.14959,40.74981,29.83019,tr,black,"['851ec927fffffff', '851ec923fffffff', '851ec937fffffff', '852d35d3fffffff', '852d359bfffffff', '851ec92ffffffff', '852d35d7fffffff']"
56,Dhekelia,wfp.17202,34.98006,33.73019,UNKNOWN,black,"['852da6b3fffffff', '852da44ffffffff', '852da6b7fffffff', '852da6bbfffffff', '852da44bfffffff', '852da6a3fffffff', '852da687fffffff']"
57,Dikili,wfp.16705,39.07053,26.88805,tr,black,"['853f64cffffffff', '853f64c3fffffff', '853f6453fffffff', '853f64c7fffffff', '853f6457fffffff', '853f64cbfffffff', '853f641bfffffff']"
58,Diliskelesi,wfp.17455,40.76636,29.53002,tr,black,"['851ec923fffffff', '851ec937fffffff', '851ec92bfffffff', '851ec93bfffffff', '851ec927fffffff', '851ec92ffffffff', '851ec933fffffff']"
59,Dilovasi,wfp.17382,40.77108,29.54326,tr,black,"['851ec923fffffff', '851ec937fffffff', '851ec92bfffffff', '851ec93bfffffff', '851ec927fffffff', '851ec92ffffffff', '851ec933fffffff']"
60,Eceabat,wfp.16188,40.18429,26.36012,tr,black,"['851eca1bfffffff', '851ecacffffffff', '851eca57fffffff', '851eca13fffffff', '851eca03fffffff', '851ecac7fffffff', '851eca0bfffffff']"
61,Eckerö,747712,60.229,19.5421,fi,baltic,"['8508839bfffffff', '850883d7fffffff', '85088383fffffff', '85088067fffffff', '8508838bfffffff', '85088393fffffff', '8508806ffffffff']"
62,Ed Daliah,wfp.14549,33.884,35.47341,lb,black,"['852da24ffffffff', '852da24bfffffff', '852db1b7fffffff', '852db1b3fffffff', '852da27bfffffff', '852da243fffffff', '852da247fffffff']"
63,Ed Daoura,wfp.16304,33.89927,35.5578,lb,black,"['852da24ffffffff', '852da24bfffffff', '852db1b7fffffff', '852db1b3fffffff', '852da27bfffffff', '852da243fffffff', '852da247fffffff']"
64,Ed Daoura Fuel Oil Port,wfp.17893,33.89813,35.55245,lb,black,"['852da24ffffffff', '852da24bfffffff', '852db1b7fffffff', '852db1b3fffffff', '852da27bfffffff', '852da243fffffff', '852da247fffffff']"
65,Edincik,wfp.15143,40.36566,27.86879,tr,black,"['851ecb8bfffffff', '851ecbc7fffffff', '851ecb13fffffff', '851ecbd7fffffff', '851ecb8ffffffff', '851ecb9bfffffff', '851ecb83fffffff']"
66,Ej Jiye,wfp.16019,33.64933,35.4069,lb,black,"['852da24bfffffff', '852da24ffffffff', '852db197fffffff', '852db1b3fffffff', '852da243fffffff', '852da25bfffffff', '852db187fffffff']"
67,El Aabde,wfp.15019,34.51918,35.97785,lb,black,"['852da22ffffffff', '852da227fffffff', '852da223fffffff', '852da22bfffffff', '852da35bfffffff', '852d8497fffffff', '852d8493fffffff']"
68,El Aaqaybe,wfp.17032,34.05716,35.6415,lb,black,"['852da273fffffff', '852da20bfffffff', '852da20ffffffff', '852da27bfffffff', '852da277fffffff', '852da247fffffff', '852da263fffffff']"
69,El Beddaoui,wfp.16992,34.45735,35.8627,lb,black,"['852da22bfffffff', '852da23bfffffff', '852da267fffffff', '852da223fffffff', '852da22ffffffff', '852da277fffffff', '852d8493fffffff']"
70,El Berbara,wfp.15249,34.19237,35.63294,lb,black,"['852da273fffffff', '852da20bfffffff', '852da20ffffffff', '852da27bfffffff', '852da277fffffff', '852da247fffffff', '852da263fffffff']"
71,El Bware,wfp.17377,34.0453,35.6313,lb,black,"['852da27bfffffff', '852da24ffffffff', '852da26bfffffff', '852db1b7fffffff', '852da273fffffff', '852da247fffffff', '852da263fffffff']"
72,El Dekheila,wfp.17532,31.1326,29.79895,eg,black,"['853f5ba3fffffff', '853f5bb7fffffff', '853f5baffffffff', '853f5bb3fffffff', '853f5ba7fffffff', '853f5babfffffff', '853f5bbbfffffff']"
73,El Heri,wfp.14667,34.31069,35.71581,lb,black,"['852da277fffffff', '852da23bfffffff', '852da20ffffffff', '852da267fffffff', '852da273fffffff', '852da22bfffffff', '852da263fffffff']"
74,El Iskandariya,wfp.14393,31.16936,29.86204,eg,black,"['853f5ba7fffffff', '853f5ba3fffffff', '853f5baffffffff', '853e66dbfffffff', '853e66d3fffffff', '853f5bb7fffffff', '853f596bfffffff']"
75,El Maadiya Port,wfp.17368,31.2697,30.15254,eg,black,"['853f596bfffffff', '853f5963fffffff', '853f5ba7fffffff', '853f596ffffffff', '853e66d3fffffff', '853f5bb7fffffff', '853f597bfffffff']"
76,El Maameltayne,wfp.17006,34.00517,35.64464,lb,black,"['852da27bfffffff', '852da24ffffffff', '852da26bfffffff', '852db1b7fffffff', '852da273fffffff', '852da247fffffff', '852da263fffffff']"
77,El Meks,wfp.17052,31.15318,29.84303,eg,black,"['853f5ba3fffffff', '853f5bb7fffffff', '853f5baffffffff', '853f5bb3fffffff', '853f5ba7fffffff', '853f5babfffffff', '853f5bbbfffffff']"
78,El Minie,wfp.14638,34.48356,35.92342,lb,black,"['852da22ffffffff', '852da227fffffff', '852da223fffffff', '852da22bfffffff', '852da35bfffffff', '852d8497fffffff', '852d8493fffffff']"
79,El Ouzaai,wfp.16264,33.84337,35.48366,lb,black,"['852da24ffffffff', '852da24bfffffff', '852db1b7fffffff', '852db1b3fffffff', '852da27bfffffff', '852da243fffffff', '852da247fffffff']"
80,El Qalamoun,wfp.15000,34.38993,35.78766,lb,black,"['852da22bfffffff', '852da23bfffffff', '852da267fffffff', '852da223fffffff', '852da22ffffffff', '852da277fffffff', '852d8493fffffff']"
81,Eleusis,wfp.14332,38.04274,23.51074,gr,black,"['851eda73fffffff', '851eda7bfffffff', '851eda0ffffffff', '851eda0bfffffff', '851eda47fffffff', '851eda63fffffff', '851eda77fffffff']"
82,En Naqoura,wfp.14666,33.12491,35.14311,lb,black,"['852db56ffffffff', '852db56bfffffff', '852db567fffffff', '852db1d7fffffff', '852db19bfffffff', '852db1d3fffffff', '852db563fffffff']"
83,Enfe,wfp.16024,34.3602,35.72977,lb,black,"['852da22bfffffff', '852da23bfffffff', '852da267fffffff', '852da223fffffff', '852da22ffffffff', '852da277fffffff', '852d8493fffffff']"
84,Erdek,wfp.14905,40.39613,27.79244,tr,black,"['851ecbd7fffffff', '851ecbc7fffffff', '851ecbc3fffffff', '851ec86ffffffff', '851ecb8bfffffff', '851ecb9bfffffff', '851ecbd3fffffff']"
85,Eregli,wfp.16454,41.26814,31.42242,tr,black,"['852d2243fffffff', '852d224ffffffff', '852d2247fffffff', '852d2257fffffff', '852d224bfffffff', '852d225bfffffff', '852d2253fffffff']"
86,Es Saadiyat,wfp.14692,33.6944,35.42614,lb,black,"['852da24bfffffff', '852da24ffffffff', '852db197fffffff', '852db1b3fffffff', '852da243fffffff', '852da25bfffffff', '852db187fffffff']"
87,Es Safra,wfp.14706,34.03494,35.62566,lb,black,"['852da27bfffffff', '852da24ffffffff', '852da26bfffffff', '852db1b7fffffff', '852da273fffffff', '852da247fffffff', '852da263fffffff']"
88,Evpatoria,wfp.16883,45.18809,33.37369,ua,black,"['852d2d1bfffffff', '852d2d13fffffff', '852d2d0bfffffff', '852d2dc7fffffff', '852d2d03fffffff', '852d2dcffffffff', '852d2d57fffffff']"
89,Ez Zahrani,wfp.17482,33.50451,35.34433,lb,black,"['852db183fffffff', '852db197fffffff', '852db19bfffffff', '852db18ffffffff', '852db18bfffffff', '852db187fffffff', '852db193fffffff']"
90,FALKENBERG,8241721,56.916,12.499,se,baltic,"['851f211bfffffff', '851f21cffffffff', '851f2113fffffff', '851f21c7fffffff', '851f2157fffffff', '851f210bfffffff', '851f2103fffffff']"
91,FREDRIKSHAMN,897421,57.433299,10.530099,dk,baltic,"['851f2423fffffff', '851f242bfffffff', '851f2437fffffff', '851f243bfffffff', '851f242ffffffff', '851f2427fffffff', '851f2433fffffff']"
92,Famagusta,wfp.16169,35.13087,33.93946,cy,black,"['852da46bfffffff', '852da463fffffff', '852da47bfffffff', '852da6a7fffffff', '852da0d3fffffff', '852da6b7fffffff', '852da46ffffffff']"
93,Fatsa,wfp.14963,41.04402,37.48562,tr,black,"['852d1d07fffffff', '852d1d3bfffffff', '852d1d03fffffff', '852d1d33fffffff', '852d1d0ffffffff', '852d1dabfffffff', '852d1d17fffffff']"
94,Feodosia,wfp.16884,45.02829,35.38767,ua,black,"['852d290ffffffff', '852d2907fffffff', '852d293bfffffff', '852d2973fffffff', '852d2903fffffff', '852d290bfffffff', '852d2977fffffff']"
95,Fethiye,wfp.15964,36.62179,29.10543,tr,black,"['853f632ffffffff', '853f6327fffffff', '853f4593fffffff', '853f6e5bfffffff', '853f632bfffffff', '853f4597fffffff', '853f6323fffffff']"
96,Finike,wfp.15189,36.29548,30.14774,tr,black,"['853f6e6ffffffff', '853f6a9bfffffff', '853f6e67fffffff', '853f6ad7fffffff', '853f6e6bfffffff', '853f6e63fffffff', '853f6ad3fffffff']"
97,Foca,wfp.14402,38.66761,26.7521,tr,black,"['853f644bfffffff', '853f6443fffffff', '853f6697fffffff', '853f644ffffffff', '853f645bfffffff', '853f6687fffffff', '853f66b3fffffff']"
98,FÖRBY,9393214,60.101,22.8534,fi,baltic,"['85089d63fffffff', '85089d7bfffffff', '85089d6bfffffff', '85089d67fffffff', '85089d6ffffffff', '85089d73fffffff', '85089d77fffffff']"
99,GDANSK,785329,54.36023,18.64912,pl,baltic,"['851f09b3fffffff', '851f0987fffffff', '851f724bfffffff', '851f09a3fffffff', '851f724ffffffff', '851f09bbfffffff', '851f09b7fffffff']"
100,GDYNIA,12641287,54.5343,18.5459,pl,baltic,"['851f7243fffffff', '851f7247fffffff', '851f724bfffffff', '851f7257fffffff', '851f724ffffffff', '851f725bfffffff', '851f7253fffffff']"
101,GRENÅ,987352,56.416794,10.93124,dk,baltic,"['851f2063fffffff', '851f2073fffffff', '851f206bfffffff', '851f2077fffffff', '851f206ffffffff', '851f207bfffffff', '851f2067fffffff']"
102,GRISSLEHAMN,856529,60.110847,18.8167471,se,baltic,"['85088073fffffff', '85088063fffffff', '8508800ffffffff', '85088047fffffff', '85088077fffffff', '8508800bfffffff', '8508807bfffffff']"
103,GRUVÖN,32876239647,59.33213,13.1166069,se,baltic,"['8508b517fffffff', '8508b513fffffff', '8508b507fffffff', '8508b58ffffffff', '8508b5bbfffffff', '8508b503fffffff', '8508b5abfffffff']"
104,Gaza,wfp.16786,31.52247,34.43192,ps,black,"['852db63bfffffff', '852db623fffffff', '852db62bfffffff', '852db60ffffffff', '852db677fffffff', '852db607fffffff', '852db633fffffff']"
105,Gelibolu,wfp.14975,40.4062,26.67013,tr,black,"['851eca8ffffffff', '851eca87fffffff', '851eca83fffffff', '851eca8bfffffff', '851eca13fffffff', '851ecabbfffffff', '851eca17fffffff']"
106,Gemikonagi,wfp.17304,35.14621,32.81445,cy,black,"['852da4dbfffffff', '852da4c3fffffff', '852da4d3fffffff', '852da4cbfffffff', '853f4d87fffffff', '853f4d97fffffff', '853f4db3fffffff']"
107,Gemlik,wfp.16202,40.42269,29.15261,tr,black,"['851ec96ffffffff', '852d3487fffffff', '852d34b3fffffff', '851ec967fffffff', '851ec96bfffffff', '852d3497fffffff', '851ec963fffffff']"
108,Giresun,wfp.16209,40.92222,38.38656,tr,black,"['852d198ffffffff', '852d1917fffffff', '852d19bbfffffff', '852d1913fffffff', '852d1987fffffff', '852d198bfffffff', '852d1983fffffff']"
109,Gocek,wfp.17108,36.75495,28.93988,tr,black,"['853f632bfffffff', '853f6377fffffff', '853f4593fffffff', '853f632ffffffff', '853f6323fffffff', '853f633bfffffff', '853f6367fffffff']"
110,Gokova,wfp.14475,37.05086,28.3247,tr,black,"['853f631bfffffff', '853f630bfffffff', '853f63cffffffff', '853f6357fffffff', '853f6313fffffff', '853f63c7fffffff', '853f6303fffffff']"
111,Golcuk,wfp.17495,40.72124,29.82794,tr,black,"['851ec927fffffff', '851ec923fffffff', '851ec937fffffff', '852d35d3fffffff', '852d359bfffffff', '851ec92ffffffff', '852d35d7fffffff']"
112,Gorele,wfp.15198,41.03658,39.00122,tr,black,"['852d1937fffffff', '852d1927fffffff', '852c24dbfffffff', '852d1923fffffff', '852d19affffffff', '852d1933fffffff', '852c24cbfffffff']"
113,Gulluk,wfp.14476,37.22763,27.58976,tr,black,"['853f62affffffff', '853f62abfffffff', '853f62a7fffffff', '853f6237fffffff', '853f62a3fffffff', '853f6233fffffff', '853f63dbfffffff']"
114,GÄVLE,742938,60.683293,17.183295,se,baltic,"['85088557fffffff', '85088543fffffff', '85088553fffffff', '8508850bfffffff', '8508851bfffffff', '850885cffffffff', '85088547fffffff']"
115,GÖTEBORG,9469372,57.7169,11.88329,se,baltic,"['851f25abfffffff', '851f2533fffffff', '851f25affffffff', '851f2517fffffff', '851f25bbfffffff', '851f25a3fffffff', '851f2507fffffff']"
116,HAAPSALU,90214,58.91666,23.501023,ee,baltic,"['85089a87fffffff', '85089a8ffffffff', '8508984bfffffff', '85089a97fffffff', '85089a83fffffff', '85089abbfffffff', '85089ab3fffffff']"
117,HALLSTAVIK,42199,60.0667,18.599,se,baltic,"['85088073fffffff', '85088063fffffff', '8508800ffffffff', '85088047fffffff', '85088077fffffff', '8508800bfffffff', '8508807bfffffff']"
118,HALMSTAD,987124,56.66124,12.86654,se,baltic,"['851f2177fffffff', '851f213bfffffff', '851f2163fffffff', '851f212bfffffff', '851f2167fffffff', '851f2173fffffff', '851f210ffffffff']"
119,HAMINA,879421,60.566475,27.183324,fi,baltic,"['85112213fffffff', '8511228ffffffff', '85112217fffffff', '851122c7fffffff', '8511221bfffffff', '85112203fffffff', '8511228bfffffff']"
120,HANKO/HANGÖ,89742,59.81432,22.967483,fi,baltic,"['850898a3fffffff', '850898bbfffffff', '850898abfffffff', '850898b3fffffff', '850898affffffff', '850898a7fffffff', '850898b7fffffff']"
121,HARAHOLMEN,984721,65.2330923,21.6350012,se,baltic,"['8508f163fffffff', '8508f16bfffffff', '8508f177fffffff', '8508f167fffffff', '8508f17bfffffff', '8508f16ffffffff', '8508f173fffffff']"
122,HARGSHAMN,10560147,60.166665,18.48354,se,baltic,"['8508800ffffffff', '8508803bfffffff', '85088073fffffff', '85088077fffffff', '8508800bfffffff', '85088007fffffff', '85088003fffffff']"
123,HELSINGBORG,87213,56.0542,12.69432,se,baltic,"['851f2327fffffff', '851f2e5bfffffff', '851f2e53fffffff', '851f2337fffffff', '851f2ecbfffffff', '851f232ffffffff', '851f2323fffffff']"
124,HELSINGÖR,91321,56.0324,12.55769,dk,baltic,"['851f2323fffffff', '851f232bfffffff', '851f2327fffffff', '851f2333fffffff', '851f2337fffffff', '851f233bfffffff', '851f232ffffffff']"
125,HELSINKI/HELSINGFORS,12,60.142,24.9512,fi,baltic,"['851126d3fffffff', '851126dbfffffff', '8508996bfffffff', '85089ba7fffffff', '8508996ffffffff', '851126d7fffffff', '851126c3fffffff']"
126,HOLMSUND,82,63.666554,20.33049,se,baltic,"['8508f293fffffff', '8508f667fffffff', '8508f62bfffffff', '8508f283fffffff', '8508f62ffffffff', '8508f297fffffff', '8508f29bfffffff']"
127,HUDIKSVALL,62,61.73324,17.116653,se,baltic,"['8508aa93fffffff', '8508ae2bfffffff', '8508aa83fffffff', '8508ae67fffffff', '8508aa9bfffffff', '8508ae2ffffffff', '8508aa97fffffff']"
128,HUSUM,28,63.35443,19.15326,se,baltic,"['8508f6c7fffffff', '8508f6c3fffffff', '8508f6d7fffffff', '8508f613fffffff', '8508f61bfffffff', '8508f6cffffffff', '8508f68bfffffff']"
129,Hadera,wfp.15715,32.46712,34.88576,il,black,"['852db017fffffff', '852db08ffffffff', '852db0abfffffff', '852db007fffffff', '852db0bbfffffff', '852db013fffffff', '852db003fffffff']"
130,Haifa,wfp.16226,32.81338,35.01136,il,black,"['852db0a3fffffff', '852db0abfffffff', '852db0a7fffffff', '852db0b7fffffff', '852db0bbfffffff', '852db0b3fffffff', '852db0affffffff']"
131,Halat,wfp.16268,34.09131,35.64935,lb,black,"['852da273fffffff', '852da20bfffffff', '852da20ffffffff', '852da27bfffffff', '852da277fffffff', '852da247fffffff', '852da263fffffff']"
