,name,port_id,lat_port,lon_port,iso2,h3_5
91,GRENÅ,987352,56.416794,10.93124,dk,599526340516904959
92,GRENÅ,987352,56.416794,10.93124,dk,599526338369421311
93,GRENÅ,987352,56.416794,10.93124,dk,599526339443163135
94,GRENÅ,987352,56.416794,10.93124,dk,599526335148195839
95,GRENÅ,987352,56.416794,10.93124,dk,599526337295679487
134,GRISSLEHAMN,856529,60.110847,18.8167471,se,599128315160166399
804,GRISSLEHAMN,856529,60.110847,18.8167471,se,599128316233908223
805,GRISSLEHAMN,856529,60.110847,18.8167471,se,599128317307650047
806,GRISSLEHAMN,856529,60.110847,18.8167471,se,599128287242878975
807,GRISSLEHAMN,856529,60.110847,18.8167471,se,599128288316620799
808,GRISSLEHAMN,856529,60.110847,18.8167471,se,599128303349006335
809,GRISSLEHAMN,856529,60.110847,18.8167471,se,599128310865199103
16,GRUVÖN,32876239647,59.33213,13.1166069,se,599131932596371455
96,GRUVÖN,32876239647,59.33213,13.1166069,se,599131972324818943
97,GRUVÖN,32876239647,59.33213,13.1166069,se,599131931522629631
98,GRUVÖN,32876239647,59.33213,13.1166069,se,599131964808626175
99,GRUVÖN,32876239647,59.33213,13.1166069,se,599131976619786239
100,GRUVÖN,32876239647,59.33213,13.1166069,se,599131928301404159
101,GRUVÖN,32876239647,59.33213,13.1166069,se,599131927227662335
17,GÄVLE,742938,60.683293,17.183295,se,599128651241357311
102,GÄVLE,742938,60.683293,17.183295,se,599128630840262655
103,GÄVLE,742938,60.683293,17.183295,se,599128650167615487
104,GÄVLE,742938,60.683293,17.183295,se,599128683453612031
105,GÄVLE,742938,60.683293,17.183295,se,599128635135229951
106,GÄVLE,742938,60.683293,17.183295,se,599128646946390015
107,GÄVLE,742938,60.683293,17.183295,se,599128645872648191
18,GÖTEBORG,9469372,57.7169,11.88329,se,599526696999190527
108,GÖTEBORG,9469372,57.7169,11.88329,se,599526657270743039
109,GÖTEBORG,9469372,57.7169,11.88329,se,599526664786935807
110,GÖTEBORG,9469372,57.7169,11.88329,se,599526701294157823
111,GÖTEBORG,9469372,57.7169,11.88329,se,599526694851706879
112,GÖTEBORG,9469372,57.7169,11.88329,se,599526698072932351
113,GÖTEBORG,9469372,57.7169,11.88329,se,599526652975775743
7,HAAPSALU,90214,58.91666,23.501023,ee,599130107235270655
42,HAAPSALU,90214,58.91666,23.501023,ee,599130109382754303
43,HAAPSALU,90214,58.91666,23.501023,ee,599130121193914367
44,HAAPSALU,90214,58.91666,23.501023,ee,599130111530237951
45,HAAPSALU,90214,58.91666,23.501023,ee,599129953690189823
46,HAAPSALU,90214,58.91666,23.501023,ee,599130119046430719
47,HAAPSALU,90214,58.91666,23.501023,ee,599130106161528831
19,HALLSTAVIK,42199,60.0667,18.599,se,599128315160166399
114,HALLSTAVIK,42199,60.0667,18.599,se,599128316233908223
115,HALLSTAVIK,42199,60.0667,18.599,se,599128317307650047
116,HALLSTAVIK,42199,60.0667,18.599,se,599128287242878975
117,HALLSTAVIK,42199,60.0667,18.599,se,599128288316620799
118,HALLSTAVIK,42199,60.0667,18.599,se,599128303349006335
119,HALLSTAVIK,42199,60.0667,18.599,se,599128310865199103
20,HALMSTAD,987124,56.66124,12.86654,se,599526408162639871
120,HALMSTAD,987124,56.66124,12.86654,se,599526387761545215
121,HALMSTAD,987124,56.66124,12.86654,se,599526407088898047
122,HALMSTAD,987124,56.66124,12.86654,se,599526380245352447
123,HALMSTAD,987124,56.66124,12.86654,se,599526392056512511
124,HALMSTAD,987124,56.66124,12.86654,se,599526403867672575
125,HALMSTAD,987124,56.66124,12.86654,se,599526402793930751
21,HAMINA,879421,60.566475,27.183324,fi,599280159433949183
126,HAMINA,879421,60.566475,27.183324,fi,599280160507691007
127,HAMINA,879421,60.566475,27.183324,fi,599280161581432831
128,HAMINA,879421,60.566475,27.183324,fi,599280191646203903
129,HAMINA,879421,60.566475,27.183324,fi,599280192719945727
130,HAMINA,879421,60.566475,27.183324,fi,599280207752331263
131,HAMINA,879421,60.566475,27.183324,fi,599280155138981887
22,HANKO/HANGÖ,89742,59.81432,22.967483,fi,599129977312509951
132,HANKO/HANGÖ,89742,59.81432,22.967483,fi,599129983754960895
133,HANKO/HANGÖ,89742,59.81432,22.967483,fi,599129978386251775
134,HANKO/HANGÖ,89742,59.81432,22.967483,fi,599129981607477247
135,HANKO/HANGÖ,89742,59.81432,22.967483,fi,599129982681219071
136,HANKO/HANGÖ,89742,59.81432,22.967483,fi,599129979459993599
137,HANKO/HANGÖ,89742,59.81432,22.967483,fi,599129980533735423
23,HARAHOLMEN,984721,65.2330923,21.6350012,se,599136076166070271
138,HARAHOLMEN,984721,65.2330923,21.6350012,se,599136078313553919
139,HARAHOLMEN,984721,65.2330923,21.6350012,se,599136082608521215
140,HARAHOLMEN,984721,65.2330923,21.6350012,se,599136080461037567
141,HARAHOLMEN,984721,65.2330923,21.6350012,se,599136081534779391
142,HARAHOLMEN,984721,65.2330923,21.6350012,se,599136077239812095
143,HARAHOLMEN,984721,65.2330923,21.6350012,se,599136079387295743
24,HARGSHAMN,10560147,60.166665,18.48354,se,599128288316620799
144,HARGSHAMN,10560147,60.166665,18.48354,se,599128316233908223
145,HARGSHAMN,10560147,60.166665,18.48354,se,599128300127780863
146,HARGSHAMN,10560147,60.166665,18.48354,se,599128285095395327
