id,port,country,score
12,OSKARSHAMN,se,0.15000000000000002
wfp.17455,Diliskelesi,tr,0.15000000000000002
wfp.16705,Dikili,tr,0.15000000000000002
352995,VÄSTERVIK,se,0.15000000000000002
wfp.16463,Kusadasi,tr,0.15000000000000002
wfp.15237,Batroun,lb,0.15000000000000002
wfp.16467,Marmaris,tr,0.15000000000000002
74829,KALAJOKI,fi,0.15000000000000002
wfp.17357,Belgorod-Dnestrovskiy,ua,0.15000000000000002
wfp.16914,Ashkelon,il,0.15000000000000002
wfp.14629,Sitia,gr,0.15000000000000002
75684,Lappeenranta,fi,0.15000000000000002
21414,KRISTINEHAMN,se,0.15000000000000002
21,IGGESUND,se,0.15000000000000002
wfp.16361,Corinth,gr,0.15000000000000002
93251,ÅMÅL,se,0.15000000000000002
wfp.15965,Rize,tr,0.15000000000000002
wfp.17747,Istanbul,tr,0.15000000000000002
wfp.14963,Fatsa,tr,0.15000000000000002
wfp.14664,Hopa,tr,0.15000000000000002
wfp.16883,Evpatoria,ua,0.15000000000000002
wfp.14383,Sidi Kerir,eg,0.15000000000000002
wfp.15463,Ordu,tr,0.15000000000000002
wfp.17352,Ust Dunaysk,ua,0.15000000000000002
wfp.17304,Gemikonagi,cy,0.15000000000000002
wfp.14730,Cheikh Zennad,lb,0.15000000000000002
wfp.16209,Giresun,tr,0.15000000000000002
