id,port,score
wfp.15715,Hadera,0.5129717947714952
wfp.15674,Tuzla,0.5093453397311735
81274125,LOKSA,0.5093329777542212
104,KOVERHAR,0.5087795872606862
wfp.15779,Keramoti,0.5082526147964894
14928,VYSOTSKI,0.5025878239932141
4215,UDDEVALLA,0.4984953124624735
9949,Parainen,0.4970401995003239
224,OTTERBÄCKEN,0.4929332689290086
19,HÄRNÖSAND,0.49210153449407285
wfp.16287,Nea Karvali,0.48643543109609727
45647,PRIMORSK,0.48619212338512613
wfp.14392,Kalecik,0.4826861817140337
75684,Lappeenranta,0.47675889137860167
8214872,UST-LUGA,0.4762106421249493
4004,MARIESTAD,0.46741583295434436
989,KÖPING,0.46463537428757623
231,KOKKOLA,0.4617037769254105
wfp.15456,Tasucu,0.4562523291919908
9112,TAALINTEHDAS,0.455492870103708
9593,NORRSUNDET,0.45412579606240544
43827439,TORNIO,0.44182022291031336
12812,SÖDERHAMN,0.43937648207538743
wfp.17532,El Dekheila,0.4283924483414474
553,SKÖLDVIK,0.42353943701458574
93482,SILLAMÄE,0.42314513480167426
wfp.16914,Ashkelon,0.40775673604692214
34679,KUNDA,0.40612220845664365
55,KÖGE,0.40514635210274835
wfp.15524,Otranto,0.4001545378399812
wfp.14907,Novorossiysk,0.38423234916007687
89412,ÅHUS,0.3773055103133449
99,MARIEHAMN,0.37587505869957033
91321,HELSINGÖR,0.37430034520361133
40421948,STRÖMSTAD,0.3740010658718341
wfp.16608,Burgas,0.37019515323963076
wfp.15189,Finike,0.36326930959363746
82,HOLMSUND,0.3621882559320044
987124,HALMSTAD,0.3612302017102676
321441,KRAMFORS,0.35843643847823026
984721,HARAHOLMEN,0.35627454049013674
wfp.15896,Cide,0.3531584698653048
wfp.17055,Bandirmar,0.35010687536190993
8928379,UUSIKAUPUNKI/NYSTAD,0.3493809336943327
wfp.14656,Limni,0.34511672053740505
32876239647,GRUVÖN,0.33879744859232885
49490,LULEÅ,0.3342060939154548
wfp.16881,Berdyansk,0.33012857539572
62,HUDIKSVALL,0.32824386785590937
wfp.15138,Anamur,0.32718984355629555
1945,SKELLEFTEHAMN,0.32175951768697414
wfp.15505,Varna,0.3146614326041804
21414,KRISTINEHAMN,0.3087495927512617
wfp.15275,Thasos,0.3079208761524888
98120,KAPELLSKÄR,0.30225521144724654
2140,OULU,0.29451325388088706
8475,PORI/MÄNTYLUOTO,0.2943491401125717
3280995,RAAHE,0.28829003770646927
wfp.16296,Skopelos,0.28163990108079434
wfp.17357,Belgorod-Dnestrovskiy,0.2612149036887663
wfp.15956,Karabiga,0.2591524789321219
532,KARLSKRONA,0.25514075418187876
wfp.17108,Gocek,0.2529556767023261
wfp.15964,Fethiye,0.2502806066425432
wfp.16913,Mytilene,0.24646968800801222
4325,LÅNGNÄS,0.2414307230881446
3+24442,PIETARSAARI,0.24011540200598128
4620,RUNDVIK,0.23682345646826583
wfp.14730,Cheikh Zennad,0.22540608406121457
wfp.14664,Hopa,0.22384095068577978
wfp.14758,Kherson,0.22046795755787515
wfp.17383,Akdeniz,0.21980881795971957
wfp.14938,Tuapse,0.21519900759196756
wfp.14666,En Naqoura,0.2141914665874364
4210,ÖREGRUND,0.21315896487595348
423,KASKINEN,0.2119093805242312
wfp.15965,Rize,0.20975941249803434
wfp.14963,Fatsa,0.20975941249803434
wfp.16216,Tekirdag,0.20974738914341898
wfp.17352,Ust Dunaysk,0.20108730492597265
wfp.16428,Samos,0.19821101803442173
wfp.14577,Michurin,0.19737451355413305
10560147,HARGSHAMN,0.19724865555654736
1049,VAASA,0.19662617452149259
wfp.14760,Kerch,0.19503214384893008
wfp.17149,Latchi,0.1932418976503817
12,OSKARSHAMN,0.19149663058788063
wfp.15585,Itea,0.18404614773586186
wfp.14476,Gulluk,0.18240408079752485
74829,KALAJOKI,0.17618993274704936
352995,VÄSTERVIK,0.17388590563402226
wfp.14629,Sitia,0.1701453808286987
9447,KLINTEHAMN,0.16973801979563422
wfp.14905,Erdek,0.1685993964806426
wfp.14383,Sidi Kerir,0.16820665894714568
wfp.16467,Marmaris,0.1665903754801229
wfp.16880,Sevastopol,0.16271766177461455
4559,KARLSBORG,0.15998208271283046
wfp.14759,Yalta,0.1599660006464033
wfp.16361,Corinth,0.15708618634272845
wfp.15863,Medgidia,0.15624925427151126
93251,ÅMÅL,0.15481056931619797
wfp.16463,Kusadasi,0.15000000000000002
wfp.17332,Supsa,0.15000000000000002
21,IGGESUND,0.15000000000000002
958123,STOCKA,0.15000000000000002
wfp.15773,Parga,0.15000000000000002
9393214,FÖRBY,0.15000000000000002
wfp.17747,Istanbul,0.15000000000000002
wfp.16883,Evpatoria,0.15000000000000002
wfp.17304,Gemikonagi,0.15000000000000002
